N,summary,baseline,min_rounds,n_features,n_games_learn,n_games_heldout,frac_at_ceiling_learn,frac_at_ceiling_heldout,outcome,metric,model_family,delta_cv_r2,ci_low,ci_high,cv_r2_base,cv_r2_full,delta_heldout_r2,ci_low_heldout,ci_high_heldout,heldout_r2_base,heldout_r2_full,delta_cv_auc,auc_ci_low,auc_ci_high,cv_auc_base,cv_auc_full,delta_heldout_auc,auc_ci_low_heldout,auc_ci_high_heldout,heldout_auc_base,heldout_auc_full
1,cumulative,no_baseline,15,151,71,108,0.4647887323943662,0.3888888888888889,contribution_rate,delta_r2,elastic net,-0.21107934420312435,-0.3344145325788088,-0.07917872253512326,0.10431682010146714,-0.10676252410165721,-0.09265711104837437,-0.20956383045807747,0.07982798531639157,0.08194387391914726,-0.010713237129227116,,,,,,,,,,
1,cumulative,no_baseline,15,151,71,108,0.4647887323943662,0.3888888888888889,maxed_out,delta_auc,elastic net,,,,,,,,,,,0.03389154704944175,-0.1274230072463768,0.19353067898671084,0.5330940988835725,0.5669856459330143,-0.05104617604617612,-0.17320053761914228,0.07844231585972558,0.6556637806637807,0.6046176046176046
1,cumulative,no_baseline,15,151,71,108,0.4647887323943662,0.3888888888888889,contribution_rate,delta_r2,random forest,-0.029613097215265838,-0.06005885416232694,0.017432464430985783,0.017693196072691042,-0.011919901142574796,-0.0017424364382223612,-0.053938506063915564,0.056603433345776936,0.08239742132208117,0.0806549848838588,,,,,,,,,,
1,cumulative,no_baseline,15,151,71,108,0.4647887323943662,0.3888888888888889,maxed_out,delta_auc,random forest,,,,,,,,,,,0.08054226475279103,-0.1073229804958147,0.25423564917467345,0.5151515151515151,0.5956937799043062,0.051587301587301626,-0.08982024856710098,0.1916681199860479,0.6118326118326118,0.6634199134199135
1,cumulative,early_contribution,15,151,71,108,0.4647887323943662,0.3888888888888889,contribution_rate,delta_r2,elastic net,-0.17200459791841394,-0.26471105006464973,-0.050328497227912126,0.09964256008809547,-0.07236203783031847,-0.09265711104837437,-0.20921330517080475,0.06738530288537002,0.08194387391914726,-0.010713237129227116,,,,,,,,,,
1,cumulative,early_contribution,15,151,71,108,0.4647887323943662,0.3888888888888889,maxed_out,delta_auc,elastic net,,,,,,,,,,,0.05582137161084544,-0.10257475083056475,0.22020833808759502,0.5111642743221689,0.5669856459330144,-0.05645743145743165,-0.17730443961853018,0.06281036730312105,0.658910533910534,0.6024531024531024
1,cumulative,early_contribution,15,151,71,108,0.4647887323943662,0.3888888888888889,contribution_rate,delta_r2,random forest,-0.00982400531599703,-0.04501890177673789,0.026344713178299933,0.014803352349926469,0.004979347033929438,0.007009994830662669,-0.0439594644678751,0.06381143879369137,0.08015243401703676,0.08716242884769942,,,,,,,,,,
1,cumulative,early_contribution,15,151,71,108,0.4647887323943662,0.3888888888888889,maxed_out,delta_auc,random forest,,,,,,,,,,,0.10606060606060608,-0.0638279410647832,0.2806464464746196,0.5151515151515151,0.6212121212121212,0.019660894660894712,-0.11516217482363321,0.14864736381809077,0.6488095238095238,0.6684704184704185
2,cumulative,no_baseline,15,151,75,121,0.4533333333333333,0.4132231404958678,contribution_rate,delta_r2,elastic net,-0.12386416089746188,-0.25303801887789873,0.008985449008313266,0.07134899621048929,-0.05251516468697259,-0.04650708293306838,-0.13989991550010322,0.08224543794586557,0.08935587395598166,0.04284879102291328,,,,,,,,,,
2,cumulative,no_baseline,15,151,75,121,0.4533333333333333,0.4132231404958678,maxed_out,delta_auc,elastic net,,,,,,,,,,,0.05774748923959838,-0.08259920634920631,0.2051319648093842,0.6101147776183643,0.6678622668579627,-0.03154929577464782,-0.137709005421456,0.08188403221985308,0.6422535211267606,0.6107042253521128
2,cumulative,no_baseline,15,151,75,121,0.4533333333333333,0.4132231404958678,contribution_rate,delta_r2,random forest,-0.029354964768371183,-0.09131395491779538,0.031120968062173474,0.042073938199009064,0.012718973430637881,0.022710723399033683,-0.02608968709169088,0.0716563136295357,0.07416668143674632,0.09687740483578,,,,,,,,,,
2,cumulative,no_baseline,15,151,75,121,0.4533333333333333,0.4132231404958678,maxed_out,delta_auc,random forest,,,,,,,,,,,-0.09612625538020081,-0.24197214076246334,0.058334030625052304,0.5839311334289813,0.4878048780487805,-0.10563380281690138,-0.20748650234741786,-0.005575105304490788,0.6056338028169014,0.5
2,cumulative,early_contribution,15,151,75,121,0.4533333333333333,0.4132231404958678,contribution_rate,delta_r2,elastic net,-0.12430866892717052,-0.24974586128268855,0.008888912961028858,0.07179350424019793,-0.05251516468697259,-0.04650708293306838,-0.13365367293079156,0.07677266064178796,0.08935587395598166,0.04284879102291328,,,,,,,,,,
2,cumulative,early_contribution,15,151,75,121,0.4533333333333333,0.4132231404958678,maxed_out,delta_auc,elastic net,,,,,,,,,,,0.01147776183644178,-0.12411616161616167,0.14461282480471835,0.6556671449067433,0.667144906743185,-0.01281690140845082,-0.11866849060030873,0.08656035549949766,0.6471830985915494,0.6343661971830986
2,cumulative,early_contribution,15,151,75,121,0.4533333333333333,0.4132231404958678,contribution_rate,delta_r2,random forest,-0.024411599103888015,-0.0921100263749121,0.04154359782584027,0.03272287903750626,0.008311279933618243,0.030104454463130814,-0.02408007488180138,0.07821507382259991,0.07060211735128286,0.10070657181441367,,,,,,,,,,
2,cumulative,early_contribution,15,151,75,121,0.4533333333333333,0.4132231404958678,maxed_out,delta_auc,random forest,,,,,,,,,,,-0.14383070301291245,-0.2900174418604651,-0.0029281353567069553,0.6208751793400287,0.4770444763271162,-0.13352112676056338,-0.23407185000493727,-0.026039918637172685,0.6335211267605634,0.5
3,cumulative,no_baseline,15,151,77,128,0.45454545454545453,0.3984375,contribution_rate,delta_r2,elastic net,-0.11444557770315655,-0.25937176743479384,0.15944488070293603,0.01736877698896988,-0.09707680071418667,-0.038212952064048844,-0.1283060704747091,0.07129924465134924,0.07261249965350847,0.03439954758945962,,,,,,,,,,
3,cumulative,no_baseline,15,151,77,128,0.45454545454545453,0.3984375,maxed_out,delta_auc,elastic net,,,,,,,,,,,-0.08605442176870748,-0.23583659317211947,0.07280449413808074,0.6142857142857143,0.5282312925170068,-0.0544945250827602,-0.14706403310311977,0.03242358010912691,0.6450216450216449,0.5905271199388847
3,cumulative,no_baseline,15,151,77,128,0.45454545454545453,0.3984375,contribution_rate,delta_r2,random forest,-0.03221256043534593,-0.09764168212322048,0.02244135913347803,0.03830283728463579,0.006090276849289866,0.029650529054737973,-0.014737748490868147,0.07200053760992312,0.06948497886870852,0.0991355079234465,,,,,,,,,,
3,cumulative,no_baseline,15,151,77,128,0.45454545454545453,0.3984375,maxed_out,delta_auc,random forest,,,,,,,,,,,0.0023809523809522615,-0.1667274052478135,0.18022240139756776,0.5411564625850341,0.5435374149659864,0.008658008658008698,-0.12911133830158888,0.14752254513549692,0.6114081996434937,0.6200662083015024
3,cumulative,early_contribution,15,151,77,128,0.45454545454545453,0.3984375,contribution_rate,delta_r2,elastic net,-0.04388183240284327,-0.1526847646939799,0.15748693208321723,0.0055607116575217,-0.03832112074532157,-0.1204709721544418,-0.19446850870813848,-0.03135978365567739,0.15487051974390142,0.03439954758945962,,,,,,,,,,
3,cumulative,early_contribution,15,151,77,128,0.45454545454545453,0.3984375,maxed_out,delta_auc,elastic net,,,,,,,,,,,-0.04523809523809519,-0.19377057544515253,0.11603436982901241,0.5795918367346938,0.5343537414965986,-0.07053730583142348,-0.15976377923487514,0.019488246984649123,0.6720142602495544,0.6014769544181309
3,cumulative,early_contribution,15,151,77,128,0.45454545454545453,0.3984375,contribution_rate,delta_r2,random forest,-0.045115485120454046,-0.11776215406348389,0.012775886478881825,0.043386281564269824,-0.0017292035561842223,-0.10633615282386755,-0.14768774943245985,-0.055741845793763636,0.08785279454394779,-0.01848335827991976,,,,,,,,,,
3,cumulative,early_contribution,15,151,77,128,0.45454545454545453,0.3984375,maxed_out,delta_auc,random forest,,,,,,,,,,,-0.07006802721088434,-0.2331137387387387,0.08472967273954116,0.5789115646258504,0.508843537414966,-0.005984211866564837,-0.12919381640288913,0.11434921014219264,0.6578813343519225,0.6518971224853577
4,cumulative,no_baseline,15,151,80,136,0.4375,0.41911764705882354,contribution_rate,delta_r2,elastic net,-0.06840323429191608,-0.19097760044555187,0.06994485605220341,0.040275812166216785,-0.028127422125699297,-0.04954728962927302,-0.14864864984432838,0.08489261289414454,0.0705501297044524,0.021002840075179385,,,,,,,,,,
4,cumulative,no_baseline,15,151,80,136,0.4375,0.41911764705882354,maxed_out,delta_auc,elastic net,,,,,,,,,,,0.06126984126984125,-0.09303487622389141,0.2086140732154928,0.6066666666666667,0.6679365079365079,-0.09860093271152559,-0.19389827061355172,-0.002381346016263104,0.6309127248500999,0.5323117921385743
4,cumulative,no_baseline,15,151,80,136,0.4375,0.41911764705882354,contribution_rate,delta_r2,random forest,-0.029564664775312277,-0.08815896655238509,0.041345988105254854,0.04380354252928076,0.014238877753968482,0.007063745218269579,-0.0445975111331084,0.05426688479560087,0.07077937403823886,0.07784311925650844,,,,,,,,,,
4,cumulative,no_baseline,15,151,80,136,0.4375,0.41911764705882354,maxed_out,delta_auc,random forest,,,,,,,,,,,0.0025396825396825085,-0.15888055034396487,0.15951193902725563,0.5892063492063493,0.5917460317460318,0.00344214967799239,-0.12249301923231672,0.14000765306122456,0.5966022651565623,0.6000444148345547
4,cumulative,early_contribution,15,151,80,136,0.4375,0.41911764705882354,contribution_rate,delta_r2,elastic net,-0.10675655705945342,-0.19946041265418005,-0.006332856914138511,0.08145726726609548,-0.025299289793357937,-0.15992648706246027,-0.22128241702908727,-0.08631723456908394,0.2135321930045998,0.05360570594213954,,,,,,,,,,
4,cumulative,early_contribution,15,151,80,136,0.4375,0.41911764705882354,maxed_out,delta_auc,elastic net,,,,,,,,,,,0.0034920634920635463,-0.10725585670932394,0.12318937897739753,0.6822222222222222,0.6857142857142857,-0.10237619364867867,-0.21284065543831163,0.007415635131152231,0.6586719964468133,0.5562958027981346
4,cumulative,early_contribution,15,151,80,136,0.4375,0.41911764705882354,contribution_rate,delta_r2,random forest,-0.05813166230189748,-0.13055246650700728,0.004525221985976175,0.08289500508323933,0.024763342781341846,-0.012452703962599343,-0.05537320480737853,0.026767691754623107,0.10753641797859326,0.09508371401599391,,,,,,,,,,
4,cumulative,early_contribution,15,151,80,136,0.4375,0.41911764705882354,maxed_out,delta_auc,random forest,,,,,,,,,,,-0.056507936507936396,-0.16787676102699137,0.05983236621534504,0.6812698412698412,0.6247619047619049,-0.04230512991339108,-0.15398636006394611,0.06990961115894748,0.6803242282922496,0.6380190983788585
5,cumulative,no_baseline,15,151,80,140,0.4375,0.4142857142857143,contribution_rate,delta_r2,elastic net,-0.12841128757093778,-0.27885012281815014,0.03234491399759547,0.040275812166216785,-0.088135475404721,-0.03459943397011778,-0.14530499327184437,0.09038276026600425,0.06304737713735464,0.028447943167236867,,,,,,,,,,
5,cumulative,no_baseline,15,151,80,140,0.4375,0.4142857142857143,maxed_out,delta_auc,elastic net,,,,,,,,,,,0.08539682539682547,-0.06733696510862411,0.23469576709582518,0.6066666666666667,0.6920634920634922,-0.08536585365853655,-0.18636878994021855,0.02002963000268586,0.62973086627418,0.5443650126156434
5,cumulative,no_baseline,15,151,80,140,0.4375,0.4142857142857143,contribution_rate,delta_r2,random forest,-0.03163111679661934,-0.09972281083892809,0.024861205877424377,0.04380354252928076,0.012172425732661418,0.0054618104117935,-0.03676285627500579,0.04043264400668164,0.06901752531073257,0.07447933572252607,,,,,,,,,,
5,cumulative,no_baseline,15,151,80,140,0.4375,0.4142857142857143,maxed_out,delta_auc,random forest,,,,,,,,,,,0.07238095238095221,-0.08108500182968274,0.21626254795396418,0.5892063492063493,0.6615873015873015,-0.011669470142977256,-0.14744490014490003,0.12820673781125758,0.5905172413793104,0.5788477712363331
