N,summary,split,min_rounds,n_games_eligible,n_games_with_talk,outcome_mean,outcome_sd,frac_at_ceiling,frac_above_0.9,status,reason
1,cumulative,learn,12,236,87,0.8480731196018906,0.20180137539819085,0.42528735632183906,0.5517241379310345,ok,
1,cumulative,val,12,278,123,0.8451788946148702,0.1869305075118344,0.4065040650406504,0.4959349593495935,ok,
2,cumulative,learn,12,236,91,0.8488071682907189,0.19835242640931391,0.4175824175824176,0.5494505494505495,ok,
2,cumulative,val,12,278,137,0.8455056698168013,0.19342503871563538,0.4233576642335766,0.5109489051094891,ok,
3,cumulative,learn,12,236,94,0.8466933998636456,0.19960964827531388,0.4148936170212766,0.5425531914893617,ok,
3,cumulative,val,12,278,146,0.8378489276134823,0.2000341594979145,0.4041095890410959,0.5,ok,
4,cumulative,learn,12,236,98,0.845717918956846,0.19813660405136532,0.40816326530612246,0.5408163265306123,ok,
4,cumulative,val,12,278,155,0.8412157640746349,0.2027487109144943,0.4258064516129032,0.5161290322580645,ok,
5,cumulative,learn,12,236,98,0.845717918956846,0.19813660405136532,0.40816326530612246,0.5408163265306123,ok,
5,cumulative,val,12,278,160,0.8398804229624541,0.20453191852413208,0.425,0.51875,ok,
6,cumulative,learn,12,236,98,0.845717918956846,0.19813660405136532,0.40816326530612246,0.5408163265306123,ok,
6,cumulative,val,12,278,160,0.8398804229624541,0.20453191852413208,0.425,0.51875,ok,
7,cumulative,learn,12,236,100,0.8433749891491377,0.19766301130572783,0.4,0.53,ok,
7,cumulative,val,12,278,161,0.8388045611221077,0.20434823611959355,0.422360248447205,0.515527950310559,ok,
8,cumulative,learn,12,236,100,0.8433749891491377,0.19766301130572783,0.4,0.53,ok,
8,cumulative,val,12,278,162,0.8377419815267036,0.20416107392840546,0.41975308641975306,0.5123456790123457,ok,
9,cumulative,learn,12,236,100,0.8433749891491377,0.19766301130572783,0.4,0.53,ok,
9,cumulative,val,12,278,164,0.8356556971991425,0.20461149869773929,0.4146341463414634,0.5060975609756098,ok,
10,cumulative,learn,12,236,101,0.8439356328209283,0.19675290552381283,0.39603960396039606,0.5346534653465347,ok,
10,cumulative,val,12,278,166,0.8331176767509596,0.2087926100033596,0.41566265060240964,0.5060240963855421,ok,
1,cumulative,learn,15,196,71,0.8636175581251455,0.2008066240034078,0.4647887323943662,0.5915492957746479,ok,
1,cumulative,val,15,231,108,0.844354975657059,0.18697095274211065,0.3888888888888889,0.49074074074074076,ok,
2,cumulative,learn,15,196,75,0.8636791671463498,0.19660135518544597,0.4533333333333333,0.5866666666666667,ok,
2,cumulative,val,15,231,121,0.8449113782223285,0.19505583090759684,0.4132231404958678,0.512396694214876,ok,
3,cumulative,learn,15,196,77,0.8655965913763146,0.19462120126823898,0.45454545454545453,0.5844155844155844,ok,
3,cumulative,val,15,231,128,0.8369214330591284,0.20379126318543642,0.3984375,0.5078125,ok,
4,cumulative,learn,15,196,80,0.8617764250820559,0.19380050608364854,0.4375,0.575,ok,
4,cumulative,val,15,231,136,0.839620907585062,0.20688288799438775,0.41911764705882354,0.5220588235294118,ok,
5,cumulative,learn,15,196,80,0.8617764250820559,0.19380050608364854,0.4375,0.575,ok,
5,cumulative,val,15,231,140,0.8370061976713763,0.20900622812244138,0.4142857142857143,0.5214285714285715,ok,
6,cumulative,learn,15,196,80,0.8617764250820559,0.19380050608364854,0.4375,0.575,ok,
6,cumulative,val,15,231,140,0.8370061976713763,0.20900622812244138,0.4142857142857143,0.5214285714285715,ok,
7,cumulative,learn,15,196,82,0.8585275227281383,0.19356356288868584,0.4268292682926829,0.5609756097560976,ok,
7,cumulative,val,15,231,141,0.835798115891201,0.20875191433683196,0.41134751773049644,0.5177304964539007,ok,
8,cumulative,learn,15,196,82,0.8585275227281383,0.19356356288868584,0.4268292682926829,0.5609756097560976,ok,
8,cumulative,val,15,231,142,0.8346070493473662,0.20849400290382003,0.4084507042253521,0.5140845070422535,ok,
9,cumulative,learn,15,196,82,0.8585275227281383,0.19356356288868584,0.4268292682926829,0.5609756097560976,ok,
9,cumulative,val,15,231,143,0.8322671399113706,0.20963438278173854,0.40559440559440557,0.5104895104895105,ok,
10,cumulative,learn,15,196,83,0.8590271911290039,0.19243352754804194,0.42168674698795183,0.5662650602409639,ok,
10,cumulative,val,15,231,145,0.8294082828091449,0.21419094887298706,0.4068965517241379,0.5103448275862069,ok,
1,cumulative,learn,20,136,53,0.859734590833808,0.2088202850758134,0.4528301886792453,0.5660377358490566,skipped,fewer than 40 games in val (val=39)
1,cumulative,val,20,91,39,0.8093278943278943,0.22630350963334478,0.4358974358974359,0.46153846153846156,skipped,fewer than 40 games in val (val=39)
2,cumulative,learn,20,136,55,0.8602896966216698,0.20634412615263675,0.45454545454545453,0.5636363636363636,ok,
2,cumulative,val,20,91,45,0.7972087542087544,0.2428390035987761,0.4444444444444444,0.4666666666666667,ok,
3,cumulative,learn,20,136,55,0.8602896966216698,0.20634412615263675,0.45454545454545453,0.5636363636363636,ok,
3,cumulative,val,20,91,48,0.7925220959595959,0.2504673074001057,0.4375,0.4791666666666667,ok,
4,cumulative,learn,20,136,57,0.857142276925966,0.20584908018607745,0.43859649122807015,0.5614035087719298,ok,
4,cumulative,val,20,91,51,0.8047266785502081,0.24779171438659556,0.47058823529411764,0.5098039215686274,ok,
5,cumulative,learn,20,136,57,0.857142276925966,0.20584908018607745,0.43859649122807015,0.5614035087719298,ok,
5,cumulative,val,20,91,54,0.7969163860830529,0.2496352523225594,0.4444444444444444,0.5,ok,
6,cumulative,learn,20,136,57,0.857142276925966,0.20584908018607745,0.43859649122807015,0.5614035087719298,ok,
6,cumulative,val,20,91,54,0.7969163860830529,0.2496352523225594,0.4444444444444444,0.5,ok,
7,cumulative,learn,20,136,58,0.8527087893927597,0.20681025149592708,0.43103448275862066,0.5517241379310345,ok,
7,cumulative,val,20,91,55,0.7945482093663915,0.24793584044507144,0.43636363636363634,0.4909090909090909,ok,
8,cumulative,learn,20,136,58,0.8527087893927597,0.20681025149592708,0.43103448275862066,0.5517241379310345,ok,
8,cumulative,val,20,91,55,0.7945482093663915,0.24793584044507144,0.43636363636363634,0.4909090909090909,ok,
9,cumulative,learn,20,136,58,0.8527087893927597,0.20681025149592708,0.43103448275862066,0.5517241379310345,ok,
9,cumulative,val,20,91,56,0.7892884199134199,0.2488046754473346,0.42857142857142855,0.48214285714285715,ok,
10,cumulative,learn,20,136,59,0.8535103353352552,0.20511207699861655,0.423728813559322,0.559322033898305,ok,
10,cumulative,val,20,91,57,0.7798272195640616,0.2567112344817048,0.42105263157894735,0.47368421052631576,ok,
