binning,bin,block,sample,block_meaning,model_family,controls,n_rounds,n_games,n_rounds_heldout,n_games_heldout,delta_cv_r2,ci_low,ci_high,delta_heldout_r2,ci_low_heldout,ci_high_heldout
round_bin,rounds 4-6,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing+momentum,191,94,207,129,-0.003248247510022395,-0.029494906040877112,0.032984279887118974,0.034636751340908156,0.015879024152900423,0.05197416520312125
round_bin,rounds 4-6,cumulative,talkers,every message so far this game,random forest,rules+timing+momentum,191,94,207,129,-0.04724082333921098,-0.09755270048566686,0.00940987055704998,0.02131673776910048,-0.005260701666323109,0.04529632293010004
round_bin,rounds 7-10,pre,talkers,"this round, before the outcome",elastic net,rules+timing,185,82,216,102,-0.07430510094284115,-0.14637032512491407,0.04733863962811946,0.16483848288830405,0.06940564087577285,0.30656412002813277
round_bin,rounds 7-10,post,talkers,"last round, after the outcome",elastic net,rules+timing,185,82,216,102,-0.07322991634944709,-0.16276504834283942,0.09239412876535301,0.14779791705533607,0.043912300667039536,0.30832572318824697
round_bin,rounds 7-10,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing,185,82,216,102,-0.05867766308507727,-0.1857611729522398,0.12678591461926475,0.08241453025639833,-0.0575288370954275,0.22742988307405157
round_bin,rounds 7-10,cumulative,talkers,every message so far this game,elastic net,rules+timing,185,82,216,102,-0.2428051334201956,-0.45000085487898944,-0.0621240086114322,0.2180245447293523,0.016007163922354878,0.5411292490767935
round_bin,rounds 7-10,pre,talkers,"this round, before the outcome",random forest,rules+timing,185,82,216,102,-0.024113902321876157,-0.06488767816901411,0.017232836504966795,0.016055946026819812,-0.009650601066924303,0.04549915003409706
round_bin,rounds 7-10,post,talkers,"last round, after the outcome",random forest,rules+timing,185,82,216,102,-0.0152409776951683,-0.047828257934454964,0.03936758052679542,0.019607821422836458,-0.016253379202289087,0.057051024006644295
round_bin,rounds 7-10,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing,185,82,216,102,-0.03279120627261234,-0.07001585472986793,0.023935245633080523,0.04435904384339051,-0.013199432079990248,0.09168793944983478
round_bin,rounds 7-10,cumulative,talkers,every message so far this game,random forest,rules+timing,185,82,216,102,-0.09054545414659576,-0.1722498472316411,0.004689949605928194,0.047309305159091264,-0.04112318411829886,0.14838274929309017
round_bin,rounds 7-10,pre,talkers,"this round, before the outcome",elastic net,rules+timing+momentum,185,82,216,102,-0.026676186897081178,-0.06941549716833362,0.0242509551677913,0.0375054870759719,0.01005118689656464,0.07926199481710068
round_bin,rounds 7-10,post,talkers,"last round, after the outcome",elastic net,rules+timing+momentum,185,82,216,102,-0.03341221644536341,-0.07758311465148612,0.013183821445511987,0.03752812464370514,0.010632160946070153,0.07694399382460067
round_bin,rounds 7-10,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing+momentum,185,82,216,102,-0.05201792318552001,-0.11002654556064298,-0.005567459722053044,0.0319077162857484,0.00211450871168451,0.07551110995573079
round_bin,rounds 7-10,cumulative,talkers,every message so far this game,elastic net,rules+timing+momentum,185,82,216,102,-0.03815294026089944,-0.07940477804229239,0.01041323967397331,0.006726090428883724,-0.01990979438957382,0.04273440495741775
round_bin,rounds 7-10,pre,talkers,"this round, before the outcome",random forest,rules+timing+momentum,185,82,216,102,-0.006410905433158809,-0.023050089559316575,0.008277484849302514,0.03621174651779213,0.017742442546035898,0.06163161277221139
round_bin,rounds 7-10,post,talkers,"last round, after the outcome",random forest,rules+timing+momentum,185,82,216,102,0.0004958672588998292,-0.022597061007740497,0.03663385613918104,0.025955592724106746,0.002647598583770011,0.05133750098159466
round_bin,rounds 7-10,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing+momentum,185,82,216,102,-0.005634793260953619,-0.028752193156118613,0.028669172704261774,0.037684891648508745,0.010154009633266103,0.06334980963453975
round_bin,rounds 7-10,cumulative,talkers,every message so far this game,random forest,rules+timing+momentum,185,82,216,102,-0.03135012192955833,-0.070055159714829,0.03462264548953287,0.028599105603556607,-0.009526527174603321,0.07631805905654361
round_bin,rounds 11+,pre,talkers,"this round, before the outcome",elastic net,rules+timing,422,79,458,118,0.0009554073833939469,-0.010944910731090473,0.019257921715115416,0.0,0.0,0.0
round_bin,rounds 11+,post,talkers,"last round, after the outcome",elastic net,rules+timing,422,79,458,118,0.07406082155764282,-0.016316882611234103,0.6987841751850333,0.0,0.0,0.0
round_bin,rounds 11+,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing,422,79,458,118,0.08265187188794143,-0.03503612310480142,0.7572930303466939,0.0,0.0,0.0
round_bin,rounds 11+,cumulative,talkers,every message so far this game,elastic net,rules+timing,422,79,458,118,0.09183301530254862,-0.35681618855876607,1.199527310133505,0.0,0.0,0.0
