binning,bin,block,block_meaning,sample,model_family,controls,n_features,n_rounds,n_games,n_rounds_heldout,n_games_heldout,delta_cv_r2,ci_low,ci_high,cv_r2_base,cv_r2_full,delta_heldout_r2,ci_low_heldout,ci_high_heldout,heldout_r2_base,heldout_r2_full
all,all rounds,pre,"this round, before the outcome",channel,elastic net,rules+timing,151,2913,181,4170,275,0.00817876850733934,0.0003054798844346757,0.015131322877597782,0.018398470578706028,0.026577239086045368,-0.00040522070238957486,-0.004262718783801922,0.002942293181938615,0.022763918647075942,0.022358697944686368
all,all rounds,pre,"this round, before the outcome",channel,random forest,rules+timing,151,2913,181,4170,275,-0.03978748391699927,-0.09858954781333377,0.004787256100730391,0.04829293989096839,0.008505455973969123,0.0023462933568701994,-0.006446157448632609,0.011244629496929275,0.04812698185346376,0.05047327521033396
all,all rounds,pre,"this round, before the outcome",channel,elastic net,rules+timing+momentum,151,2913,181,4170,275,0.0007921997606807896,-0.001909401331850194,0.003239751720763209,0.7411625779874291,0.7419547777481099,0.0017996444014700685,4.656245663200165e-05,0.0037695947773051922,0.6229549809307611,0.6247546253322311
all,all rounds,pre,"this round, before the outcome",channel,random forest,rules+timing+momentum,151,2913,181,4170,275,0.02185136744918481,0.012343994061946468,0.03609035366058189,0.5966796325689199,0.6185310000181047,0.01946640121122223,0.015601540595005237,0.023414960805420736,0.5260585997480995,0.5455250009593218
all,all rounds,pre,"this round, before the outcome",talkers,elastic net,rules+timing,151,1162,143,1382,222,0.004679242110324555,-0.017008645350383926,0.02961406040845983,0.05358216207282329,0.05826140418314785,0.038703273565881324,0.01189106846458077,0.07352286385576404,-0.03420418450867291,0.004499089057208416
all,all rounds,pre,"this round, before the outcome",talkers,random forest,rules+timing,151,1162,143,1382,222,-0.008601117181243234,-0.027235011263037023,0.0007459288753541913,-0.024812103287818577,-0.03341322046906181,-0.006187731881591274,-0.012389064255445748,3.447306839257174e-06,0.052940251329502974,0.0467525194479117
all,all rounds,pre,"this round, before the outcome",talkers,elastic net,rules+timing+momentum,151,1162,143,1382,222,-0.0027955920427816805,-0.006645062108652769,0.004640798326582518,0.7032920659733907,0.700496473930609,0.0015308032325638266,-0.001775406589888201,0.004697575226540445,0.5038538195044355,0.5053846227369994
all,all rounds,pre,"this round, before the outcome",talkers,random forest,rules+timing+momentum,151,1162,143,1382,222,0.009231648504809953,-0.00031818960253818246,0.033025405700783536,0.42749036584817235,0.4367220143529823,0.01811663955608578,0.01140710588928596,0.025347396030687887,0.4363228347117444,0.45443947426783016
all,all rounds,post,"last round, after the outcome",channel,elastic net,rules+timing,151,2913,181,4170,275,0.014062724163271256,-0.005709564171013826,0.03239237078539426,0.029475295280752878,0.043538019444024134,0.002696529725057073,-0.0036555284851395417,0.008441700840875838,0.04624377531447221,0.048940305039529286
all,all rounds,post,"last round, after the outcome",channel,random forest,rules+timing,151,2913,181,4170,275,-0.0030528905158832,-0.05787164531829624,0.06456129040821448,0.03781846076355544,0.03476557024767224,-0.00047302173120156166,-0.01134738517163034,0.012975255689945871,0.05248939475263459,0.05201637302143303
all,all rounds,post,"last round, after the outcome",channel,elastic net,rules+timing+momentum,151,2913,181,4170,275,0.0003878985941455637,-0.0015341689722288888,0.0023736498483188226,0.7466995630925839,0.7470874616867295,0.0017736867910713716,-7.866971969695546e-05,0.003974237496136592,0.6327348781742441,0.6345085649653155
all,all rounds,post,"last round, after the outcome",channel,random forest,rules+timing+momentum,151,2913,181,4170,275,0.02102179290431261,-0.007886563760804205,0.0524940094150592,0.5969451510416353,0.6179669439459479,0.05621600225492118,0.04764411247900026,0.06471023657544306,0.526729304508615,0.5829453067635362
all,all rounds,post,"last round, after the outcome",talkers,elastic net,rules+timing,151,1487,145,1904,229,0.015890180578690627,-0.015519452678024204,0.07153513704479839,0.017122928633098056,0.03301310921178868,0.0023052735575312955,-0.016157798847679282,0.018307361099043476,0.006359885542269517,0.008665159099800812
all,all rounds,post,"last round, after the outcome",talkers,random forest,rules+timing,151,1487,145,1904,229,0.1955291830580309,-0.0025909307365732407,0.7870287713624553,-0.15738633067544439,0.03814285238258652,0.008125591511250696,0.0014522758168422246,0.015054982086496707,0.020680155397181044,0.02880574690843174
all,all rounds,post,"last round, after the outcome",talkers,elastic net,rules+timing+momentum,151,1487,145,1904,229,-0.005080883076868492,-0.011006918959127074,0.006082418612308011,0.7377673157092106,0.7326864326323421,0.006115241349156086,0.002148214610546051,0.012048930732023703,0.573988336154738,0.5801035775038941
all,all rounds,post,"last round, after the outcome",talkers,random forest,rules+timing+momentum,151,1487,145,1904,229,0.012286080421823775,-0.022337144832572202,0.08922787061878683,0.42805231862896,0.44033839905078376,0.016975396651412344,0.012521710956887061,0.021241861129590037,0.4963342101289039,0.5133096067803162
all,all rounds,window,the whole gap between the two: post + pre,channel,elastic net,rules+timing,151,2913,181,4170,275,0.002474636873222469,-0.016371279488331926,0.02242915258830079,0.027441373377250833,0.0299160102504733,0.0032076100452052003,-0.0015249553149719347,0.007888722171349767,0.03806733004187479,0.04127494008707999
