binning,bin,sample,block_a,block_b,nested,model_family,controls,n_rounds,n_games,n_rounds_heldout,n_games_heldout,diff_cv_r2,ci_low,ci_high,diff_heldout_r2,ci_low_heldout,ci_high_heldout
round_bin,round 2,talkers,post,cumulative,True,random forest,rules+timing+momentum,79,79,85,85,-0.013718218596610599,-0.08253818696032883,0.05954530838667385,-0.0025728891822635047,-0.0438268989359162,0.035355822420413546
round_bin,round 2,talkers,window,cumulative,True,random forest,rules+timing+momentum,79,79,85,85,-0.021528217701303753,-0.07029231153841067,0.0261629639146768,-0.022614814712566322,-0.0527710326187927,0.0027122666304747077
round_bin,round 3,talkers,pre,post,False,elastic net,rules+timing,80,80,84,84,-0.02044378151904014,-0.0994796595185906,0.04577471654572678,0.0,0.0,0.0
round_bin,round 3,talkers,pre,window,True,elastic net,rules+timing,80,80,84,84,-0.09835673928373856,-0.20056837625143067,0.015452236318725025,-0.055314702004355065,-0.11016527413461372,0.002596281438286717
round_bin,round 3,talkers,pre,cumulative,True,elastic net,rules+timing,80,80,84,84,-0.1707188311707456,-0.3479846122859688,0.0639008188555914,-0.04997169416318048,-0.1935583438127212,0.12801146155645998
round_bin,round 3,talkers,post,window,True,elastic net,rules+timing,80,80,84,84,-0.07791295776469842,-0.15949135706651044,0.02820115345093697,-0.055314702004355065,-0.1098187740317109,0.0015437033346885503
round_bin,round 3,talkers,post,cumulative,True,elastic net,rules+timing,80,80,84,84,-0.15027504965170546,-0.3095337477934962,0.07864496767203018,-0.04997169416318048,-0.18334798794793353,0.1316553773323155
round_bin,round 3,talkers,window,cumulative,True,elastic net,rules+timing,80,80,84,84,-0.07236209188700704,-0.19808596785568794,0.11298686445983061,0.005343007841174585,-0.11502722186382354,0.16428928105035387
round_bin,round 3,talkers,pre,post,False,random forest,rules+timing,80,80,84,84,-0.05314381836311144,-0.11041312588135778,0.015126141395349825,-0.10334000815478028,-0.1657856701039374,-0.04210955128090596
round_bin,round 3,talkers,pre,window,True,random forest,rules+timing,80,80,84,84,-0.05765676294558075,-0.1262800784665874,0.024507070855634014,-0.022448275645307936,-0.09296086830758535,0.026397216456917963
round_bin,round 3,talkers,pre,cumulative,True,random forest,rules+timing,80,80,84,84,-0.1677030048617686,-0.24419168513352263,-0.06906338168633831,0.019294486108498266,-0.00018403202093278387,0.039172762626487584
round_bin,round 3,talkers,post,window,True,random forest,rules+timing,80,80,84,84,-0.004512944582469314,-0.06205783741639327,0.0592438277628555,0.08089173250947235,0.010813200551181412,0.13445788995492478
round_bin,round 3,talkers,post,cumulative,True,random forest,rules+timing,80,80,84,84,-0.11455918649865715,-0.18825815492148668,-0.027129889938184125,0.12263449426327855,0.06609301353596791,0.1886836427605198
round_bin,round 3,talkers,window,cumulative,True,random forest,rules+timing,80,80,84,84,-0.11004624191618784,-0.1762392103920784,-0.046587847929381476,0.0417427617538062,-0.007553201598351006,0.1209115300746389
round_bin,round 3,talkers,pre,post,False,elastic net,rules+timing+momentum,80,80,84,84,0.017588443634561912,-0.034877529310634516,0.06979686754190775,-0.03274736265680478,-0.04943918361604049,-0.008833374640673634
round_bin,round 3,talkers,pre,window,True,elastic net,rules+timing+momentum,80,80,84,84,-0.02623699797460821,-0.07948697482203029,0.03609750708824525,0.0005872840314615768,-0.04563238958820333,0.03548425910164133
round_bin,round 3,talkers,pre,cumulative,True,elastic net,rules+timing+momentum,80,80,84,84,0.027257344514254322,-0.04467261162564072,0.1230287371431581,-0.021860389012503645,-0.07819773320236822,0.018432455189915306
round_bin,round 3,talkers,post,window,True,elastic net,rules+timing+momentum,80,80,84,84,-0.043825441609170124,-0.10068499905640245,0.015888441059499984,0.033334646688266356,-0.017268417611766833,0.06403029181757239
round_bin,round 3,talkers,post,cumulative,True,elastic net,rules+timing+momentum,80,80,84,84,0.00966890087969241,-0.058833341292771575,0.09520446609533385,0.010886973644301134,-0.043308868465866256,0.04963216762557385
round_bin,round 3,talkers,window,cumulative,True,elastic net,rules+timing+momentum,80,80,84,84,0.053494342488862534,-0.011361947123983496,0.13676829017932038,-0.02244767304396522,-0.06364446253869004,0.026033583516614927
round_bin,round 3,talkers,pre,post,False,random forest,rules+timing+momentum,80,80,84,84,-0.0523795637096115,-0.1057458210228609,-0.0002994861470246148,-0.07202603227190396,-0.11249950133641282,-0.028597081757873816
round_bin,round 3,talkers,pre,window,True,random forest,rules+timing+momentum,80,80,84,84,-0.06946380317001033,-0.11120642526969793,-0.021231392119698742,-0.013808200486196132,-0.05949495990845401,0.021254779063736684
