comparison,binning,block_a,block_b,bin_a,bin_b,n_features,coef_correlation,n_sig_a,n_sig_b,n_sig_both,n_sig_both_same_sign,n_rounds,n_games,n_rounds_heldout,n_games_heldout,n_rounds_a,n_games_a,n_rounds_b,n_games_b
blocks within bin,stage,post,window,middle,middle,151,0.9334284834388683,15,9,9,9,1023,116,1280,179,1023,116,1091,117
blocks within bin,stage,post,cumulative,middle,middle,147,0.09015315691136828,15,8,0,0,1023,116,1280,179,1023,116,1589,130
blocks within bin,stage,window,cumulative,middle,middle,147,0.08239487458677769,9,8,0,0,1091,117,1393,182,1091,117,1589,130
blocks within bin,stage,pre,post,opening,opening,151,0.2282020683188955,17,54,6,6,204,117,260,162,257,120,204,117
blocks within bin,stage,pre,window,opening,opening,151,0.4307417232789587,17,51,9,9,257,120,341,173,257,120,310,128
blocks within bin,stage,pre,cumulative,opening,opening,150,0.340388448836168,17,64,8,8,257,120,341,173,257,120,330,128
blocks within bin,stage,post,window,opening,opening,151,0.8043636605463732,54,51,40,40,204,117,260,162,204,117,310,128
blocks within bin,stage,post,cumulative,opening,opening,150,0.690831790938946,54,64,35,35,204,117,260,162,204,117,330,128
blocks within bin,stage,window,cumulative,opening,opening,150,0.8834158028387058,51,64,43,43,310,128,432,188,310,128,330,128
bins within block,round_bin,cumulative,cumulative,round 1,round 2,143,0.2528105241140154,23,20,4,4,92,92,116,116,92,92,124,124
bins within block,round_bin,cumulative,cumulative,round 1,round 3,140,0.08323056700395441,23,56,7,5,92,92,116,116,92,92,133,133
bins within block,round_bin,cumulative,cumulative,round 1,rounds 4-6,143,0.328271912424368,23,46,8,8,92,92,116,116,92,92,403,139
bins within block,round_bin,cumulative,cumulative,round 1,rounds 7-10,141,0.0480090520463603,23,19,4,4,92,92,116,116,92,92,485,130
bins within block,round_bin,cumulative,cumulative,round 1,rounds 11+,142,-0.08982613339633658,23,7,1,1,92,92,116,116,92,92,1122,106
bins within block,round_bin,cumulative,cumulative,round 2,round 3,142,0.8293928676736111,20,56,15,15,124,124,169,169,124,124,133,133
bins within block,round_bin,cumulative,cumulative,round 2,rounds 4-6,147,0.7317850294803648,20,46,7,7,124,124,169,169,124,124,403,139
bins within block,round_bin,cumulative,cumulative,round 2,rounds 7-10,145,0.6169154817814485,20,19,1,1,124,124,169,169,124,124,485,130
bins within block,round_bin,cumulative,cumulative,round 2,rounds 11+,144,-0.10573131362704272,20,7,1,0,124,124,169,169,124,124,1122,106
bins within block,round_bin,cumulative,cumulative,round 3,rounds 4-6,142,0.8119858051410487,56,46,26,26,133,133,188,188,133,133,403,139
bins within block,round_bin,cumulative,cumulative,round 3,rounds 7-10,141,0.6863092547834265,56,19,6,6,133,133,188,188,133,133,485,130
bins within block,round_bin,cumulative,cumulative,round 3,rounds 11+,142,-0.09715081591252951,56,7,3,2,133,133,188,188,133,133,1122,106
bins within block,round_bin,cumulative,cumulative,rounds 4-6,rounds 7-10,145,0.7897851305904043,46,19,14,14,403,139,635,220,403,139,485,130
bins within block,round_bin,cumulative,cumulative,rounds 4-6,rounds 11+,144,0.08574650505845889,46,7,2,2,403,139,635,220,403,139,1122,106
bins within block,round_bin,cumulative,cumulative,rounds 7-10,rounds 11+,143,0.33706837910782617,19,7,1,1,485,130,684,183,485,130,1122,106
bins within block,round_bin,post,post,round 2,round 3,148,0.5279206625078696,47,20,11,11,106,106,127,127,106,106,111,111
bins within block,round_bin,post,post,round 2,rounds 4-6,148,0.4008605672697906,47,20,5,3,106,106,127,127,106,106,289,116
bins within block,round_bin,post,post,round 2,rounds 7-10,147,-0.18348222512950763,47,6,2,1,106,106,127,127,106,106,314,107
bins within block,round_bin,post,post,round 2,rounds 11+,148,-0.42061162103086236,47,12,3,0,106,106,127,127,106,106,667,88
bins within block,round_bin,post,post,round 3,rounds 4-6,151,0.3823193856148753,20,20,2,1,111,111,133,133,111,111,289,116
bins within block,round_bin,post,post,round 3,rounds 7-10,150,-0.17847907407644692,20,6,0,0,111,111,133,133,111,111,314,107
bins within block,round_bin,post,post,round 3,rounds 11+,151,-0.3473308456027912,20,12,2,0,111,111,133,133,111,111,667,88
bins within block,round_bin,post,post,rounds 4-6,rounds 7-10,150,0.03740223601484288,20,6,2,1,289,116,405,183,289,116,314,107
bins within block,round_bin,post,post,rounds 4-6,rounds 11+,151,-0.049900842588996144,20,12,2,2,289,116,405,183,289,116,667,88
bins within block,round_bin,post,post,rounds 7-10,rounds 11+,150,0.5691103749257695,6,12,2,2,314,107,395,158,314,107,667,88
bins within block,round_bin,pre,pre,round 1,round 2,144,0.2945087316580743,21,5,1,1,91,91,117,117,92,92,91,91
bins within block,round_bin,pre,pre,round 1,round 3,146,0.06486465448494808,21,12,3,1,86,86,108,108,92,92,86,86
bins within block,round_bin,pre,pre,round 1,rounds 4-6,145,-0.4286501425997884,21,28,1,0,92,92,116,116,92,92,208,102
bins within block,round_bin,pre,pre,round 1,rounds 7-10,146,-0.4290603791683415,21,5,0,0,92,92,116,116,92,92,215,93
bins within block,round_bin,pre,pre,round 1,rounds 11+,146,-0.5310459512265796,21,36,5,0,92,92,116,116,92,92,470,83
bins within block,round_bin,pre,pre,round 2,round 3,149,0.21123844166843445,5,12,0,0,86,86,108,108,91,91,86,86
bins within block,round_bin,pre,pre,round 2,rounds 4-6,149,-0.28374736114017024,5,28,2,1,91,91,117,117,91,91,208,102
bins within block,round_bin,pre,pre,round 2,rounds 7-10,149,-0.15150560940742772,5,5,0,0,91,91,117,117,91,91,215,93
bins within block,round_bin,pre,pre,round 2,rounds 11+,149,-0.2530306491975183,5,36,0,0,91,91,117,117,91,91,470,83
bins within block,round_bin,pre,pre,round 3,rounds 4-6,150,-0.1419565144618968,12,28,0,0,86,86,108,108,86,86,208,102
bins within block,round_bin,pre,pre,round 3,rounds 7-10,151,0.0347138878775646,12,5,1,0,86,86,108,108,86,86,215,93
bins within block,round_bin,pre,pre,round 3,rounds 11+,151,0.06489912220058115,12,36,1,0,86,86,108,108,86,86,470,83
bins within block,round_bin,pre,pre,rounds 4-6,rounds 7-10,150,0.3715890072851119,28,5,2,1,208,102,249,150,208,102,215,93
bins within block,round_bin,pre,pre,rounds 4-6,rounds 11+,150,0.529959815586529,28,36,10,10,208,102,249,150,208,102,470,83
bins within block,round_bin,pre,pre,rounds 7-10,rounds 11+,151,0.6620462479613772,5,36,1,1,215,93,255,122,215,93,470,83
bins within block,round_bin,window,window,round 1,round 2,144,0.18506618159882796,22,19,3,3,92,92,116,116,92,92,118,118
bins within block,round_bin,window,window,round 1,round 3,146,0.31660205488026055,22,25,6,6,92,92,116,116,92,92,117,117
bins within block,round_bin,window,window,round 1,rounds 4-6,146,0.12253354970726255,22,16,1,1,92,92,116,116,92,92,306,121
bins within block,round_bin,window,window,round 1,rounds 7-10,146,-0.3020460009375397,22,7,0,0,92,92,116,116,92,92,344,109
bins within block,round_bin,window,window,round 1,rounds 11+,146,-0.47011107559153237,22,30,6,1,92,92,116,116,92,92,715,90
bins within block,round_bin,window,window,round 2,round 3,149,0.5420625436513792,19,25,6,6,117,117,157,157,118,118,117,117
bins within block,round_bin,window,window,round 2,rounds 4-6,149,0.16861463239099858,19,16,1,1,118,118,159,159,118,118,306,121
