model_family,step,delta_cv_r2,ci_low,ci_high,delta_r2_heldout
elastic net,channel,0.09427536210216914,0.0388396849848618,0.1453233195093288,0.0017829859174716134
elastic net,deliberation (PRE),-0.0015375923058584817,-0.004944674456233136,0.0018950463983731002,0.01061093036966465
elastic net,reaction (POST),0.01303033167386125,0.0011572949035543762,0.024143741273519384,0.056668806251737425
elastic net,both talk blocks,0.010552957258030515,-0.0010598026772511175,0.02263359834373221,0.056123640533457975
elastic net,merged window,0.0032425019441776337,-0.009819989444401897,0.015525354535983131,0.03026463590415651
random forest,channel,0.06831667017244614,0.02923287706227288,0.11409794180936424,0.07279442851449258
random forest,deliberation (PRE),0.048811380665084725,0.021190104694304022,0.07906625942849024,0.004097985186676145
random forest,reaction (POST),0.031241520958271485,0.0026736275178916276,0.06292695347436308,0.019796355584627223
random forest,both talk blocks,0.04318386610948133,0.01519972619653781,0.07421784392677577,0.017352859686644795
random forest,merged window,0.011771872383759319,-0.016248749696422194,0.04299827258927783,0.013136208740544664
