block,block_meaning,model_family,component,n_features,delta_cv_r2,ci_low,ci_high,delta_r2_heldout
pre,deliberation,elastic net,spoke at all,2,-0.0016052251419139685,-0.0037809418002788782,0.00021189553831298612,0.002225108681080057
pre,deliberation,elastic net,what was said,151,6.83314180959238e-05,-0.0025412079865469728,0.0028529513564014425,0.008385821846603747
pre,deliberation,random forest,spoke at all,2,0.01448148630280377,0.0038024783965483976,0.026437036144933666,0.007015674339984068
pre,deliberation,random forest,what was said,151,0.015765364953315153,-0.0004820996548208611,0.03390510157483158,-0.0034262382971451677
post,reaction,elastic net,spoke at all,2,0.011593733414172469,0.001402954102934037,0.02322229037052528,0.06039628523034779
post,reaction,elastic net,what was said,151,0.0014364674537817868,-0.0032133061633461356,0.005620385288107664,-0.0037274360537629114
post,reaction,random forest,spoke at all,2,0.013900609939821562,-0.0008077898791204324,0.029107288685551912,0.021276313028368632
post,reaction,random forest,what was said,151,0.013054790813726402,-0.005764058694565611,0.033124401703556496,-0.002256405550506213
window,both merged,elastic net,spoke at all,2,0.008021826679527444,-0.0014446463402376126,0.017814963762589075,0.05321847289837911
window,both merged,elastic net,what was said,151,-0.004778954231839383,-0.014281698768852314,0.002877031106952678,-0.022953908522708732
window,both merged,random forest,spoke at all,2,0.015241127438717084,0.0037331949456601925,0.026968212499997632,0.01648222916874975
window,both merged,random forest,what was said,151,-0.0017073211168693314,-0.02143377129202695,0.018252739194223825,-0.001764409332154826
