block,stage_a,stage_b,n_features,coef_correlation,n_sig_a,n_sig_b,n_sig_both,n_sig_both_same_sign
pre,opening,middle,151,-0.4213418809928964,18,51,3,0
pre,opening,endgame,151,0.010745327998783347,18,7,1,1
pre,middle,endgame,151,0.11244147568898813,51,7,3,3
post,opening,middle,151,-0.17846125928727338,54,15,4,4
post,opening,endgame,151,-0.2939498220479891,54,13,2,0
post,middle,endgame,151,0.4772718880474795,15,13,1,1
window,opening,middle,151,-0.5490837584145292,51,10,3,1
window,opening,endgame,151,-0.3809875817509672,51,22,4,0
window,middle,endgame,151,0.47185326568602853,10,22,1,1
