model_family,feature_family,n_features,n_conversations,drop_in_cv_r2,drop_in_heldout_r2
elastic net,Sentiment & emotion,40,204,0.05343151286635739,0.059407700340646796
elastic net,Volume & form,15,204,0.007354332160645072,-0.0023942210655467644
elastic net,Participation & timing,6,204,-0.0001031515138782968,-1.5840413891687888e-07
elastic net,Receptiveness,7,204,-0.0005870351374193117,0.0
elastic net,Lexical (LIWC),53,204,-0.0025359230360769702,0.004783499191606144
elastic net,Semantic dynamics,30,204,-0.008733792665643003,0.0014232738591367644
random forest,Lexical (LIWC),53,204,-0.0003205153064251842,-0.0006001147417582509
random forest,Participation & timing,6,204,-0.0018317957106022131,0.001806708729347739
random forest,Receptiveness,7,204,-0.0036946028726109192,0.0023913724203610265
random forest,Semantic dynamics,30,204,-0.0059300676364216764,0.006047923450962722
random forest,Sentiment & emotion,40,204,-0.010484704358531438,0.03723129462904762
random forest,Volume & form,15,204,-0.015235847892388299,-0.018807923855519992
