binning,bin,block,block_meaning,sample,n_rounds,n_games,n_rounds_heldout,n_games_heldout,median_rounds_per_game,median_rounds_per_game_heldout,analysed,skip_reason
round_bin,rounds 7-10,post,"last round, after the outcome",channel,580,154,776,205,4.0,4.0,True,
round_bin,rounds 7-10,post,"last round, after the outcome",talkers,314,107,395,158,3.0,2.0,True,
round_bin,rounds 7-10,window,the whole gap between the two: post + pre,channel,580,154,776,205,4.0,4.0,True,
round_bin,rounds 7-10,window,the whole gap between the two: post + pre,talkers,344,109,434,164,4.0,3.0,True,
round_bin,rounds 7-10,cumulative,every message so far this game,channel,580,154,776,205,4.0,4.0,True,
round_bin,rounds 7-10,cumulative,every message so far this game,talkers,485,130,684,183,4.0,4.0,True,
round_bin,rounds 11+,pre,"this round, before the outcome",channel,1288,126,1744,183,10.0,9.0,True,
round_bin,rounds 11+,pre,"this round, before the outcome",talkers,470,83,537,130,4.0,3.0,True,
round_bin,rounds 11+,post,"last round, after the outcome",channel,1288,126,1744,183,10.0,9.0,True,
round_bin,rounds 11+,post,"last round, after the outcome",talkers,667,88,844,151,6.0,5.0,True,
round_bin,rounds 11+,window,the whole gap between the two: post + pre,channel,1288,126,1744,183,10.0,9.0,True,
round_bin,rounds 11+,window,the whole gap between the two: post + pre,talkers,715,90,923,153,6.0,5.0,True,
round_bin,rounds 11+,cumulative,every message so far this game,channel,1288,126,1744,183,10.0,9.0,True,
round_bin,rounds 11+,cumulative,every message so far this game,talkers,1122,106,1618,172,10.5,9.0,True,
