model_family,feature_family,n_features,drop_in_cv_r2,drop_in_heldout_r2
elastic net,Sentiment & emotion,40,0.0007436511699645543,-0.024160322225496023
elastic net,Semantic dynamics,30,0.0006244768845176107,0.0006514351925042128
elastic net,Participation & timing,6,0.0003578706935032372,-0.02012231085942595
elastic net,Receptiveness,7,-4.4215562645111284e-05,1.611384137234495e-09
elastic net,Volume & form,15,-0.0001663181396643898,0.00011202705594215434
elastic net,Lexical (LIWC),53,-0.0046271977912583084,-0.024375108032285153
random forest,Volume & form,15,0.00826784656381696,0.0019148759413948335
random forest,Participation & timing,6,0.0006778410749915809,0.006254532115634648
random forest,Lexical (LIWC),53,-0.002530674506022179,0.006696641899478384
random forest,Sentiment & emotion,40,-0.005824835478474344,-0.004705420676907601
random forest,Receptiveness,7,-0.00946210307080575,0.0042776262745938265
random forest,Semantic dynamics,30,-0.010966267855894718,0.006086255316646083
