block,feature,family,endgame,middle,opening,swing
window,max_mimicry_bert,Semantic dynamics,0.03224493901784054,0.10325933127017907,0.7117505902935652,-0.6795056512757247
pre,max_mimicry_bert,Semantic dynamics,-0.42055475411366816,-0.4178007380717889,0.2572039146496074,-0.6777586687632755
pre,max_certainty_lexical_wordcount,Lexical (LIWC),-0.36981033005711883,-0.279164030049911,0.272733466008064,-0.6425437960651827
window,max_certainty_lexical_wordcount,Lexical (LIWC),-0.07343599301385004,0.07756701684065662,0.5630773458722568,-0.6365133388861068
pre,max_user_min_certainty_lexical_wordcount,Lexical (LIWC),-0.21079239539756003,-0.12733644584337983,0.40988364100915303,-0.6206760364067131
post,max_mimicry_bert,Semantic dynamics,-0.17307941792422915,-0.06958152313013764,0.42172637793845136,-0.5948057958626805
window,max_user_min_certainty_lexical_wordcount,Lexical (LIWC),-0.15184777272449745,-0.02802219335802157,0.4247413151440106,-0.576589087868508
window,min_positivity_zscore_conversation,Sentiment & emotion,0.11127147005112777,0.06250981925924182,-0.42326093017356753,0.5345324002246953
post,max_certainty_lexical_wordcount,Lexical (LIWC),-0.2161255856862685,-0.04081565325503182,0.2936818155111189,-0.5098074011973874
window,min_info_exchange_zscore_conversation,Semantic dynamics,-0.11820605598512184,-0.09439299367302476,0.3872703330045088,-0.5054763889896307
post,max_time_diff,Participation & timing,-0.12027918556066657,0.03449092995003314,0.3622028157856492,-0.4824820013463158
post,mean_user_max_verbs_lexical_wordcount,Lexical (LIWC),0.15582271124260738,0.03985550141420752,-0.3194271528212111,0.4752498640638185
pre,gini_coefficient_sum_num_chars,Participation & timing,-0.40041997572156807,-0.44641819124934284,0.07261497843505046,-0.47303495415661856
window,mean_user_max_verbs_lexical_wordcount,Lexical (LIWC),0.11717752643661784,0.1481512771187691,-0.33615238888800436,0.4533299153246222
window,max_past_tense_lexical_wordcount,Lexical (LIWC),0.2730818524792554,0.17162871016005743,-0.17613706154887362,0.4492189140281291
pre,max_user_min_function_word_accommodation,Semantic dynamics,-0.18765323843061535,-0.12351634306589591,0.24673497854863222,-0.43438821697924757
window,mean_user_max_textblob_subjectivity,Sentiment & emotion,0.2035346298003258,0.13283614620700204,-0.23034394769790487,0.43387857749823067
post,variance_in_DD,Semantic dynamics,-0.15514027648905324,-0.036590922562308725,0.27481674778171744,-0.42995702427077065
window,gini_coefficient_sum_num_chars,Participation & timing,0.061960359823384596,0.14229404037793109,0.491701507239626,-0.4297411474162414
pre,min_user_max_textblob_subjectivity,Sentiment & emotion,0.27204111449267393,0.18215159154117763,-0.15491774981201695,0.4269588643046909
pre,min_textblob_subjectivity,Sentiment & emotion,0.33296751425668375,0.21193808605595077,-0.08809538393157974,0.4210628981882635
post,mean_user_max_present_tense_lexical_wordcount,Lexical (LIWC),0.09128810204688127,0.041463482746373535,-0.32717996482808304,0.4184680668749643
post,gini_coefficient_sum_num_chars,Participation & timing,-0.1265072246340226,0.02397262688858266,0.29055835179012,-0.41706557642414266
post,min_positivity_zscore_conversation,Sentiment & emotion,0.13849398627818513,0.06739088947416642,-0.27816829663251846,0.4166622829107036
post,max_user_min_certainty_lexical_wordcount,Lexical (LIWC),-0.1703374774780761,-0.036219340504537616,0.246011052776613,-0.4163485302546891
window,max_negative_bert,Sentiment & emotion,0.11933731196364866,0.270051499017507,-0.2702833820019771,0.38962069396562576
post,max_past_tense_lexical_wordcount,Lexical (LIWC),0.20241635536035366,0.048856348656853565,-0.18719469969670682,0.3896110550570605
post,min_user_max_num_chars,Volume & form,0.06901927132143525,0.018188278605409093,-0.30828753651529,0.37730680783672527
window,mean_user_max_num_chars,Volume & form,0.0604739616982148,0.14471459556957414,-0.3055233863655535,0.36599734806376827
post,min_user_max_verbs_lexical_wordcount,Lexical (LIWC),0.15288393254481647,-0.027457194637034377,-0.2127715147897657,0.36565544733458216
window,max_info_exchange_zscore_conversation,Semantic dynamics,0.04268607780686447,0.1589177175510083,0.40756235172770716,-0.3648762739208427
