block,stage,feature,family,n_game_rounds,coef_learn,p_learn,ci_low_learn,ci_high_learn,coef_val,p_val,ci_low_val,ci_high_val,q_learn,replicates
post,endgame,min_user_max_word_TTR,Volume & form,260,-0.01804973634704586,0.0001571193542225165,-0.027409829910828853,-0.008689642783262867,0.01751999777822509,0.17007360594014564,-0.0075087064109258875,0.04254870196737607,0.026396051509382772,False
post,endgame,mean_positivity_zscore_conversation,Sentiment & emotion,260,0.018815804248811588,0.0014877947193377289,0.007208100427292528,0.030423508070330646,0.0018706778521909266,0.6938750987963436,-0.007444477226610683,0.011185832930992536,0.12497475642436923,False
post,endgame,stdev_user_max_negative_bert,Sentiment & emotion,260,-0.03525462113557755,0.01121949037234488,-0.06250366989329939,-0.008005572377855711,-0.010707711247058355,0.3945872169561284,-0.03535946739324598,0.013944044899129274,0.410523127607677,False
post,endgame,min_positivity_zscore_chats,Sentiment & emotion,260,0.03210680448105912,0.011282416854939983,0.00727158043854477,0.05694202852357347,,,,,0.410523127607677,False
post,endgame,max_negative_bert,Sentiment & emotion,260,-0.037372426230366435,0.014419600051667541,-0.0673109134790801,-0.007433938981652774,-0.019859102052438092,0.10320654106141733,-0.043745600178008104,0.004027396073131916,0.410523127607677,False
post,endgame,min_positivity_zscore_conversation,Sentiment & emotion,260,-0.02003455615048814,0.01967081665130377,-0.036868793864890496,-0.003200318436085786,-0.004209675235023486,0.5793506903293199,-0.019093879793977538,0.010674529323930563,0.410523127607677,False
post,endgame,min_user_max_certainty_rocklage,Sentiment & emotion,260,0.028937555088228636,0.02211626422763822,0.00415280197104485,0.05372230820541242,-0.007580893127976371,0.387134645766655,-0.02476156111644803,0.009599774860495288,0.410523127607677,False
post,endgame,min_user_max_positivity_zscore_chats,Sentiment & emotion,260,0.028510441108915714,0.02774747255986587,0.003120371539648382,0.05390051067818305,,,,,0.410523127607677,False
post,endgame,mean_user_min_textblob_polarity,Sentiment & emotion,260,0.02419087823859095,0.02781475622447341,0.0026383155825059207,0.04574344089467598,0.0037593736956700904,0.703560686687644,-0.015604310812365657,0.02312305820370584,0.410523127607677,False
post,endgame,mean_user_max_positivity_zscore_chats,Sentiment & emotion,260,0.024377123484458307,0.02856571579789267,0.002554859914979165,0.046199387053937446,,,,,0.410523127607677,False
post,endgame,mean_user_max_verbs_lexical_wordcount,Lexical (LIWC),260,-0.023117222475740516,0.030722126351824745,-0.04408723291294145,-0.0021472120385395838,-0.01144089681734608,0.3717661857996063,-0.036546697292284366,0.013664903657592204,0.410523127607677,False
post,endgame,mean_user_max_positivity_zscore_conversation,Sentiment & emotion,260,-0.020081771933467683,0.03442327278105282,-0.03869079902616723,-0.0014727448407681372,-0.0035395778813903395,0.7280249602501169,-0.023488868886294652,0.01640971312351397,0.410523127607677,False
post,endgame,min_user_max_positivity_zscore_conversation,Sentiment & emotion,260,-0.01575893227941643,0.03691753881577031,-0.030560922217915995,-0.0009569423409168665,0.0016996859099680421,0.8681003181060651,-0.018359829919313578,0.02175920173924966,0.410523127607677,False
