staging,stage,block,model_family,n_conversations,n_conversations_heldout,delta_cv_r2_content,ci_low,ci_high,delta_heldout_r2_content,ci_low_heldout,ci_high_heldout
absolute,opening,pre,elastic net,257,341,-0.019681070796001676,-0.03967359400005113,0.0030834900066036668,0.00019107860912603858,-0.015110954093551145,0.018484235553540666
absolute,opening,pre,random forest,257,341,-0.02225990189552185,-0.05567618185175999,0.010571532979543153,0.02269787268645096,-0.003945555684925825,0.05308922615615729
absolute,opening,post,elastic net,204,260,0.07130477422882997,0.01167388199066043,0.1278998247944088,0.09082614113458276,0.04811129438319798,0.12841552259707154
absolute,opening,post,random forest,204,260,0.05410368226504081,-0.04446711396583019,0.14668988452220277,0.08309460832337401,0.02569268457406636,0.14100513682145496
absolute,opening,window,elastic net,310,432,0.05482460543847312,0.006038047090087485,0.100660628679073,0.05123129533040105,0.019238675904936105,0.08184583457480266
absolute,opening,window,random forest,310,432,0.0425554107395808,-0.01848634316864032,0.10730713532234565,0.06645534840533884,0.028173130730181833,0.10933726028304204
absolute,middle,pre,elastic net,715,817,0.027855345454079528,-0.0049661886277752145,0.06617143869710464,-0.004152400987601723,-0.03568405806539475,0.02228317748373173
absolute,middle,pre,random forest,715,817,-0.007143874525130878,-0.03262255611424829,0.014943778486464597,-0.002252676085492733,-0.01116957651002001,0.0069984010786350885
absolute,middle,post,elastic net,1023,1280,0.048472599805771344,-0.020503959757360784,0.25440737695410603,0.0010906382115826174,-0.020607085581200512,0.020593364888902854
absolute,middle,post,random forest,1023,1280,0.021091254660557723,-0.015890535978358492,0.12598924300742909,0.004683566789221993,0.00014583986428313156,0.008418557045206053
absolute,middle,window,elastic net,1091,1393,0.02178376647004554,-0.009645236916292937,0.12667980718345154,-0.001845141306200837,-0.021553179758342842,0.01622533235907896
absolute,middle,window,random forest,1091,1393,0.011352921219226042,0.00030096587995238346,0.035758956105035954,0.001883779006248032,-0.01197456342932561,0.017896819003230084
absolute,endgame,pre,elastic net,190,224,-0.06051445327991767,-0.1176298305938103,0.005924790160415976,0.025852020872551895,-0.027610960031458326,0.09167654555691304
absolute,endgame,pre,random forest,190,224,-0.03168674720889919,-0.057689040544794845,0.008636736011476739,0.018960522919323264,-0.012601709531399996,0.053199022966999264
absolute,endgame,post,elastic net,260,364,-0.02152670746787544,-0.07844790420616968,0.042603395392393315,0.004926013773696947,-0.06806501595138262,0.08820275516750309
absolute,endgame,post,random forest,260,364,-0.009372778093413192,-0.04031553372691546,0.019684525510496695,-0.01639812779265959,-0.0534590670806487,0.02788958404694061
absolute,endgame,window,elastic net,291,411,-0.08670226144929938,-0.13012548727986434,-0.03195700663694005,0.03591347338635298,-0.034784298025021136,0.1289913160810466
absolute,endgame,window,random forest,291,411,0.006404578934382954,-0.02535881119217584,0.04793951933409955,0.01200726845401856,-0.015356131750925416,0.03679172345550516
relative,early,pre,elastic net,447,550,-0.020267679188129772,-0.04344172080532161,0.0003290150527474185,0.005627929847525914,-0.010080509395887643,0.019136590020534094
relative,early,pre,random forest,447,550,-0.0190305609669299,-0.0487469617200528,0.016584896780833,-0.008685248391551159,-0.03342393341284737,0.017398829136697127
relative,early,post,elastic net,473,603,0.020514614633895034,-0.011459485518690667,0.05915695035650693,0.0030040547053300504,-0.08067588928833654,0.05471251622751819
relative,early,post,random forest,473,603,-0.00519204227019765,-0.04326358865996466,0.029538199805518753,0.0657335875096976,0.032855840901468335,0.10051608023465865
relative,early,window,elastic net,595,799,0.009991853272494633,-0.010899074714568344,0.03522048224201637,0.0277159894460709,0.010691633397122332,0.04743758993013723
relative,early,window,random forest,595,799,-0.0007465817828307131,-0.03747064911591035,0.04922642660253136,0.028947453793456424,0.010031852601764946,0.051404907138562286
relative,middle,pre,elastic net,345,416,0.02521899127116578,-0.0038129077700586487,0.09095901538127872,-0.04398441874542902,-0.0902611163857906,-0.007767073526979297
relative,middle,pre,random forest,345,416,0.02280320743419484,-0.03188407182242305,0.0977811770761356,-0.018579363409585437,-0.03776977607574486,-0.002339150534900948
relative,middle,post,elastic net,512,635,0.00897755349359608,-0.05183572253124046,0.13468849120561213,-0.0014930961835368795,-0.02024953294386632,0.017705378507753968
relative,middle,post,random forest,512,635,-0.007298230338146583,-0.03025081460492462,0.04257962949719361,0.0,0.0,0.0
relative,middle,window,elastic net,549,695,0.0005323895230483489,-0.008790369912982729,0.021562225092522414,0.0013944571166323305,-0.00830464873901569,0.011623072722609073
relative,middle,window,random forest,549,695,0.004147990940521096,-0.01790610736372808,0.04349846312907547,0.027885941016176252,0.008211510489865032,0.048368525668245066
relative,late,pre,elastic net,370,416,-0.035638476233310734,-0.09437941541821333,0.03264044685942947,0.0,0.0,0.0
relative,late,pre,random forest,370,416,-0.018355723655328227,-0.04258945399221752,0.02904665609544508,-0.011761400173787129,-0.05677750919894777,0.029964392438972375
relative,late,post,elastic net,502,666,0.03018080284216107,-0.012105714309606266,0.08101284171904326,0.012938880561529587,-0.008140136718650002,0.035024365567076415
relative,late,post,random forest,502,666,-0.0008076855559393525,-0.035034574319485964,0.07301505409893229,0.010750008851072912,-0.023488555657079562,0.04252880294829007
relative,late,window,elastic net,548,742,0.021411225158228797,-0.01019982783244493,0.08308745329469415,-0.0045081008484735285,-0.015667309374409463,0.007922051512912979
relative,late,window,random forest,548,742,-0.0006047691960788804,-0.011081201798748583,0.02332286744193752,0.0007426542178112783,-0.0102100409056169,0.01344641577808319
