model_family,feature_family,n_features,n_conversations,drop_in_cv_r2,drop_in_heldout_r2
elastic net,Sentiment & emotion,45,204,0.033102203114784956,0.03758720180478403
elastic net,Volume & form,15,204,0.02096323278183565,-0.0009182594654796317
elastic net,Receptiveness,10,204,-4.515288378648119e-05,-3.6133358305434626e-08
elastic net,Participation & timing,6,204,-6.694378753147046e-05,1.4623844801775476e-08
elastic net,Lexical (LIWC),62,204,-0.00111185555840565,0.006437262212371286
elastic net,Semantic dynamics,30,204,-0.009818270541803842,0.0054648434766412235
random forest,Lexical (LIWC),62,204,-0.0006510956102936394,0.0030963784922943827
random forest,Semantic dynamics,30,204,-0.007284753758945661,0.008889731677710344
random forest,Participation & timing,6,204,-0.007496218918165987,0.008595213265269686
random forest,Receptiveness,10,204,-0.008779067652223582,0.0033270426906427675
random forest,Sentiment & emotion,45,204,-0.011595771930868137,0.02999329234614878
random forest,Volume & form,15,204,-0.01348312260461515,-0.013571759022910634
