model,n_features,n_learn,n_val,cv_r2_learn,cv_r2_ci_low,cv_r2_ci_high,r2_heldout_val
no channel: game rules only,16,176,171,0.17327223671973924,0.023056837851191725,0.28886547961727427,-0.11830053308502153
communicating: game rules only,16,147,232,0.029540461639305904,-0.15409662506813412,0.141762717425098,-0.039438525687669035
communicating: game rules + conversation,152,147,232,-0.05398308117311723,-0.18199845895849617,0.044888734277825644,0.09833256374223898
communicating: conversation only,136,147,232,-0.02528920874083629,-0.09203123840326692,0.031116586293995097,0.045009561175631596
