split,n_game_rounds,n_games,mean_no_channel,mean_channel,adj_coef,ci_low,ci_high,p_value,model_r2
learn,5408,357,0.6813217388265265,0.8239729368982532,0.15154410166275772,0.10848988849511593,0.19459831483039952,5.245585618197237e-12,0.25942310011069114
val,6246,446,0.7039458846376412,0.8045395208307596,0.068615979602518,-0.005004433036805783,0.14223639224184179,0.06773990039721424,0.16748358486307702
