feature,coef_standardized,is_conversation_feature
mean_work_lexical_wordcount,0.018546547841973366,True
mean_inhibition_lexical_wordcount,-0.017684703843305945,True
CONFIG_punishmentExists,0.017563024627445814,False
mean_textblob_polarity,0.01588739231493844,True
mean_certainty_lexical_wordcount,-0.013597875877002825,True
within_person_disc_range,0.012875075428971552,True
CONFIG_numRounds,0.010140440528030363,False
CONFIG_multiplier,0.008891938230939764,False
CONFIG_showOtherSummaries,-0.007604982298302874,False
mean_NTRI,0.007519238662611611,True
team_burstiness,0.007368044844732156,True
CONFIG_MPCR,0.0063094573962302804,False
mean_article_lexical_wordcount,0.0058838186883468655,True
CONFIG_showNRounds,-0.005876042450584121,False
mean_negative_bert,-0.0051772761344421195,True
mean_third_person_lexical_wordcount,0.004684198118012692,True
info_diversity,0.0033693217460743848,True
mean_achievement_lexical_wordcount,0.0033475540516989203,True
mean_time_diff,-0.0030839381597083074,True
mean_future_tense_lexical_wordcount,-0.0013271848621299322,True
mean_Reassurance_receptiveness_yeomans,0.00017542676520654495,True
