stage,min_rounds,n_rounds,n_games,n_rounds_heldout,n_games_heldout,delta_cv_r2,ci_low,ci_high,delta_heldout_r2,ci_low_heldout,ci_high_heldout,skip_reason
opening,0,204,117,260,162,0.07130477422882997,0.016716856027831378,0.12165445905780908,0.09082614113458276,0.051518778392409884,0.1280576786036075,
middle,0,1023,116,1280,179,0.048472599805771344,-0.0241894008702727,0.22993188277517226,0.0010906382115826174,-0.019875352005312697,0.021713918799636352,
endgame,0,260,112,364,173,-0.02152670746787544,-0.07653919299881608,0.04289403004477139,0.004926013773696947,-0.06172416825153882,0.09194792021575879,
opening,7,188,107,221,133,0.02855033325547951,-0.04494920237803434,0.10186483920910314,0.08246901041633348,0.03673407931953981,0.12622618463389385,
middle,7,1023,116,1280,179,0.048472599805771344,-0.021312080275907926,0.22966523468690447,0.0010906382115826174,-0.02054671421358444,0.0205726289122867,
endgame,7,226,98,300,141,-0.01365741580501978,-0.08223412791698177,0.07064149655042751,-0.011532397556306528,-0.09153730336690388,0.08923405676813165,
opening,11,156,88,201,121,0.09362418660928429,-0.027468087677717253,0.20671446241833244,0.10747647062615695,0.03128656750227424,0.17305251798552196,
middle,11,976,97,1260,165,-0.0016485853644374604,-0.05177202127928081,0.156169240545788,0.0030958423544860114,0.0011640404873147965,0.005199567197856784,
endgame,11,175,74,266,124,0.01648881965070026,-0.08764341398683091,0.12629857243235404,-0.044189706197742096,-0.16166625936844337,0.04171366451243665,
opening,16,117,67,150,89,,,,,,,fewer than 150 rounds
middle,16,866,77,1077,128,0.052092483206561235,-0.0034625539577954,0.31246653784342665,0.0,0.0,0.0,
endgame,16,134,57,199,90,,,,,,,fewer than 150 rounds
