block,block_meaning,model_family,component,n_features,delta_cv_r2,ci_low,ci_high,delta_r2_heldout
pre,deliberation,elastic net,spoke at all,2,-0.0016052251419139685,-0.0037809418002788782,0.00021189553831298612,0.002225108681080057
pre,deliberation,elastic net,what was said,168,0.0016289615891190712,-0.001988073603186849,0.005249255865990167,0.015716755550575723
pre,deliberation,random forest,spoke at all,2,0.001220744526136186,-0.01125049585086325,0.015032795415498262,0.0026264333313117394
pre,deliberation,random forest,what was said,168,0.0423912056682213,0.01970219122248878,0.06675294952331204,0.0008742363458501545
post,reaction,elastic net,spoke at all,2,0.011593444170889144,0.0014025529976453316,0.023222125271096725,0.060395487521230806
post,reaction,elastic net,what was said,168,0.0014119821993373582,-0.003238488429658812,0.005598284956406579,0.0004951164649701356
post,reaction,random forest,spoke at all,2,0.006427093900351122,-0.0066831186626439745,0.019890450920830027,0.021160851818290416
post,reaction,random forest,what was said,168,0.009540594906854216,-0.007353822833595039,0.02656003224047482,-0.0025014312377661385
window,both merged,elastic net,spoke at all,2,0.00802228686692874,-0.001444169123659944,0.01781555271532125,0.05321804339680203
window,both merged,elastic net,what was said,168,-0.005262774709265394,-0.015403340479711614,0.0027498555832246056,-0.022421525403201192
window,both merged,random forest,spoke at all,2,0.0038755183120186,-0.009445254790226416,0.01765038842378626,0.018553825351436015
window,both merged,random forest,what was said,168,0.019659272550501705,-0.0015974198703768618,0.04401671994682299,-0.004902534236180478
