block,feature,family,endgame,middle,opening,swing
pre,max_mimicry_bert,Semantic dynamics,-0.29986597328927367,-0.29702991906577475,0.39808158991605125,-0.6979475632053249
pre,max_certainty_lexical_wordcount,Lexical (LIWC),-0.29148011792477424,-0.19712972788875832,0.3773200180890692,-0.6688001360138434
pre,max_user_min_certainty_lexical_wordcount,Lexical (LIWC),-0.19340434141917354,-0.10814291622239212,0.44069932323531447,-0.634103664654488
post,max_mimicry_bert,Semantic dynamics,-0.04501890939861032,0.061561967282591876,0.5675048155005534,-0.6125237248991637
post,max_time_diff,Participation & timing,0.13554783892533837,0.3256403213365428,0.7281441618783094,-0.592596322952971
post,max_certainty_lexical_wordcount,Lexical (LIWC),-0.13151533642986346,0.05095830563561005,0.3991243823716361,-0.5306397188014995
pre,gini_coefficient_sum_num_chars,Participation & timing,-0.27778153636998365,-0.32419189932315295,0.1959471626478315,-0.4737286990178151
post,mean_user_max_verbs_lexical_wordcount,Lexical (LIWC),0.184654809537587,0.07217104724476969,-0.27631939875932326,0.46097420829691027
pre,max_First_Person_Plural_receptiveness_yeomans,Receptiveness,-0.2865847315466861,-0.13423713096831394,0.17211244073752888,-0.458697172284215
post,variance_in_DD,Semantic dynamics,-0.1300198135970035,-0.004591517610019695,0.32488583382495334,-0.4549056474219568
pre,max_user_min_function_word_accommodation,Semantic dynamics,-0.1632154078289911,-0.09667336743730955,0.2874624448411867,-0.4506778526701778
post,min_positivity_zscore_conversation,Sentiment & emotion,0.1289520732282943,0.05568657202686281,-0.29669493646107375,0.4256470096893681
post,max_user_min_certainty_lexical_wordcount,Lexical (LIWC),-0.15207422683225913,-0.015054594748661745,0.27328153579140135,-0.4253557626236605
post,gini_coefficient_sum_num_chars,Participation & timing,-0.00346706959142327,0.14723347307205878,0.4142101679750592,-0.4176772375664825
pre,min_user_max_textblob_subjectivity,Sentiment & emotion,0.22346707712893882,0.13643714027080608,-0.18990927398939517,0.413376351118334
post,max_past_tense_lexical_wordcount,Lexical (LIWC),0.29555632217947114,0.13489271206628065,-0.11207793096522868,0.4076342531446998
post,mean_user_max_present_tense_lexical_wordcount,Lexical (LIWC),0.12276523534835836,0.07432478279810048,-0.28407746253550226,0.4068426978838606
pre,min_textblob_subjectivity,Sentiment & emotion,0.2644373618666064,0.14943259509352352,-0.13566566367711277,0.4001030255437191
pre,sum_num_messages,Volume & form,-0.3973847506998911,-0.40349169194274187,-0.012516102684841436,-0.38486864801504966
pre,max_user_min_First_Person_Plural_receptiveness_yeomans,Receptiveness,-0.18892164280161522,-0.04280438912903059,0.19580051269081206,-0.3847221554924273
post,min_user_max_num_chars,Volume & form,0.008840889639210071,-0.039131870522194,-0.3472499130869274,0.35609080272613747
pre,min_positivity_zscore_conversation,Sentiment & emotion,0.044752819286596156,0.058001972656729094,-0.31106451867234497,0.3558173379589411
